url,label
secure-hdfc-login.verify-now.xyz/update,1
sbi-alert-kyc.account-verify.tk/login,1
paytm-kyc-update.upi-link.ml/verify,1
aadhaar-verify.gov-india.cf/update,1
trai-notice-urgent.action-required.xyz,1
free-jio-data.claim-now.tk/redeem,1
upi-reward-claim.prize-winner.xyz,1
hdfc-secure-login.verify-account.top,1
sbi-net-banking.login-update.work,1
income-tax-refund.claim-prize.xyz,1
pm-kisan-portal.gov-scheme.ml,1
icici-bank-alert.account-blocked.xyz,1
axis-bank-verify.urgent-action.tk,1
phonepe-blocked.verify-now.xyz/kyc,1
gpay-reward.upi-cashback.ml/claim,1
corona-relief-fund.claim-now.cf,1
epf-withdrawal-online.verify.xyz,1
lic-premium-due.payment-link.tk,1
amazon-lucky-winner.prize-claim.xyz,1
flipkart-offer-claim.free-gift.ml,1
sim-block-trai.immediate-action.xyz,1
whatsapp-account-suspended.verify.tk,1
facebook-security-alert.login.xyz,1
bitcoin-investment-india.profit.ml,1
mutual-fund-claim.return-now.xyz,1
http://axis-verify-now.win-india.cf/login,1
http://jio-login-now.kyc-india.fun/login,1
http://axis-free-now.win-india.loan/login,1
http://icici-suspend-now.reward-india.xyz/login,1
http://sbi-update-now.login-india.ga/login,1
http://trai-suspend-now.verify-india.loan/login,1
http://gpay-win-now.free-india.fun/login,1
http://aadhaar-reward-now.login-india.work/login,1
http://uidai-secure-now.verify-india.ml/login,1
http://amazon-claim-now.secure-india.ml/login,1
http://gpay-claim-now.update-india.tk/login,1
http://bob-update-now.claim-india.click/login,1
http://airtel-verify-now.win-india.work/login,1
http://aadhaar-update-now.reward-india.tk/login,1
http://aadhaar-secure-now.free-india.pw/login,1
http://pnb-suspend-now.login-india.fun/login,1
http://icici-verify-now.free-india.ga/login,1
http://kotak-update-now.login-india.tk/login,1
http://bob-secure-now.alert-india.buzz/login,1
http://pnb-kyc-now.claim-india.click/login,1
http://gpay-free-now.secure-india.fun/login,1
http://icici-suspend-now.free-india.ml/login,1
http://aadhaar-win-now.login-india.ml/login,1
http://flipkart-reward-now.secure-india.buzz/login,1
http://aadhaar-login-now.free-india.click/login,1
http://hdfc-login-now.verify-india.click/login,1
http://bob-secure-now.update-india.ga/login,1
http://uidai-win-now.claim-india.ga/login,1
http://irctc-reward-now.free-india.work/login,1
http://paytm-secure-now.kyc-india.ga/login,1
http://aadhaar-block-now.secure-india.fun/login,1
http://uidai-reward-now.suspend-india.top/login,1
http://pnb-login-now.kyc-india.loan/login,1
http://irctc-update-now.verify-india.tk/login,1
http://paytm-free-now.kyc-india.buzz/login,1
http://amazon-suspend-now.update-india.top/login,1
http://bob-suspend-now.alert-india.loan/login,1
http://airtel-block-now.verify-india.buzz/login,1
http://axis-free-now.block-india.cf/login,1
http://yesbank-update-now.secure-india.top/login,1
http://phonepe-alert-now.verify-india.fun/login,1
http://airtel-block-now.kyc-india.loan/login,1
http://axis-free-now.secure-india.buzz/login,1
http://trai-suspend-now.login-india.ml/login,1
http://pnb-kyc-now.block-india.loan/login,1
http://sbi-suspend-now.claim-india.work/login,1
http://sbi-update-now.claim-india.cf/login,1
http://jio-verify-now.login-india.pw/login,1
http://icici-update-now.win-india.work/login,1
http://icici-block-now.kyc-india.ml/login,1
http://irctc-block-now.kyc-india.cf/login,1
http://trai-suspend-now.reward-india.ga/login,1
http://aadhaar-win-now.win-india.ga/login,1
http://kotak-reward-now.free-india.buzz/login,1
http://pnb-alert-now.block-india.work/login,1
http://axis-login-now.login-india.tk/login,1
http://yesbank-verify-now.suspend-india.loan/login,1
http://jio-suspend-now.login-india.xyz/login,1
http://icici-win-now.free-india.xyz/login,1
http://jio-update-now.verify-india.click/login,1
http://icici-block-now.login-india.cf/login,1
http://irctc-login-now.block-india.ml/login,1
http://uidai-suspend-now.alert-india.ga/login,1
